Голуб,1,0,0,1,0,0,0,0,1,0,0,1,0
Курка,1,0,0,1,0,0,0,0,1,0,0,0,0
Качка,1,0,0,1,0,0,0,0,1,0,0,0,1
Гуска,1,0,0,1,0,0,0,0,1,0,0,1,1
Сова,1,0,0,1,0,0,0,0,1,0,0,1,0
Яструб,1,0,0,1,0,0,0,0,1,0,0,1,0
Орел,0,1,0,1,0,0,0,0,1,0,0,1,0
Лисиця,0,1,0,0,1,1,0,0,0,1,0,0,0
Собака,0,1,0,0,1,1,0,0,0,0,1,0,0
Вовк,0,1,0,0,1,1,0,1,0,1,1,0,0
Кіт,1,0,0,0,1,1,0,0,0,1,0,0,0
Тигр,0,0,1,0,1,1,0,0,0,1,1,0,0
Лев,0,0,1,0,1,1,0,1,0,1,1,0,0
Кінь,0,0,1,0,1,1,1,1,0,0,1,0,0
Зебра,0,0,1,0,1,1,1,1,0,0,1,0,0
Корова,0,0,1,0,1,1,1,0,0,0,0,0,0
